"","your_lowest","last_pile","your_hand_size","other_hand_size","prob_you_lowest"
"1",1,0,1,1,100
"2",1,0,1,2,100
"3",1,0,1,3,100
"4",1,0,1,4,100
"5",1,0,1,5,100
"6",1,0,2,1,100
"7",1,0,2,2,100
"8",1,0,2,3,100
"9",1,0,2,4,100
"10",1,0,2,5,100
"11",1,0,3,1,100
"12",1,0,3,2,100
"13",1,0,3,3,100
"14",1,0,3,4,100
"15",1,0,3,5,100
"16",1,0,4,1,100
"17",1,0,4,2,100
"18",1,0,4,3,100
"19",1,0,4,4,100
"20",1,0,4,5,100
"21",1,0,5,1,100
"22",1,0,5,2,100
"23",1,0,5,3,100
"24",1,0,5,4,100
"25",1,0,5,5,100
"26",2,0,1,1,99.6
"27",2,0,1,2,97.7
"28",2,0,1,3,96.3
"29",2,0,1,4,94.5
"30",2,0,1,5,95.1
"31",2,0,2,1,98.9834
"32",2,0,2,2,97.9837
"33",2,0,2,3,96.9855
"34",2,0,2,4,95.9884
"35",2,0,2,5,94.9611
"36",2,0,3,1,98.986
"37",2,0,3,2,97.9757
"38",2,0,3,3,97.0134
"39",2,0,3,4,95.9424
"40",2,0,3,5,94.9532
"41",2,0,4,1,99.0051
"42",2,0,4,2,97.9583
"43",2,0,4,3,96.9867
"44",2,0,4,4,95.9566
"45",2,0,4,5,95.0054
"46",2,0,5,1,98.9972
"47",2,0,5,2,98.0064
"48",2,0,5,3,96.9695
"49",2,0,5,4,95.9262
"50",2,0,5,5,95.0375
"51",2,1,1,1,100
"52",2,1,1,2,100
"53",2,1,1,3,100
"54",2,1,1,4,100
"55",2,1,1,5,100
"56",2,1,2,1,100
"57",2,1,2,2,100
"58",2,1,2,3,100
"59",2,1,2,4,100
"60",2,1,2,5,100
"61",2,1,3,1,100
"62",2,1,3,2,100
"63",2,1,3,3,100
"64",2,1,3,4,100
"65",2,1,3,5,100
"66",2,1,4,1,100
"67",2,1,4,2,100
"68",2,1,4,3,100
"69",2,1,4,4,100
"70",2,1,4,5,100
"71",2,1,5,1,100
"72",2,1,5,2,100
"73",2,1,5,3,100
"74",2,1,5,4,100
"75",2,1,5,5,100
"76",3,0,1,1,98
"77",3,0,1,2,97.2
"78",3,0,1,3,95.2
"79",3,0,1,4,90.8
"80",3,0,1,5,90.2
"81",3,0,2,1,97.9953
"82",3,0,2,2,95.9947
"83",3,0,2,3,94.0074
"84",3,0,2,4,92.0241
"85",3,0,2,5,90.1681
"86",3,0,3,1,97.9923
"87",3,0,3,2,96.0243
"88",3,0,3,3,93.9949
"89",3,0,3,4,92.1457
"90",3,0,3,5,90.2397
"91",3,0,4,1,97.9898
"92",3,0,4,2,95.9938
"93",3,0,4,3,94.093
"94",3,0,4,4,92.0662
"95",3,0,4,5,90.2485
"96",3,0,5,1,98.0213
"97",3,0,5,2,96.0471
"98",3,0,5,3,94.1222
"99",3,0,5,4,92.2933
"100",3,0,5,5,90.299
"101",3,1,1,1,99.2
"102",3,1,1,2,98.2
"103",3,1,1,3,97.2
"104",3,1,1,4,96.5
"105",3,1,1,5,94
"106",3,1,2,1,98.9849646821392
"107",3,1,2,2,97.9519677093845
"108",3,1,2,3,96.9525731584258
"109",3,1,2,4,95.952068617558
"110",3,1,2,5,94.9078014184397
"111",3,1,3,1,98.963849287169
"112",3,1,3,2,97.9669371196754
"113",3,1,3,3,96.9783893985729
"114",3,1,3,4,95.9022564102564
"115",3,1,3,5,94.8602238046795
"116",3,1,4,1,98.9663212435233
"117",3,1,4,2,97.9883817427386
"118",3,1,4,3,96.9479750778816
"119",3,1,4,4,95.9652620760534
"120",3,1,4,5,94.9160164271047
"121",3,1,5,1,98.9884375
"122",3,1,5,2,97.9666666666667
"123",3,1,5,3,96.9527632950991
"124",3,1,5,4,95.9096194503171
"125",3,1,5,5,94.9304393305439
"126",3,2,1,1,100
"127",3,2,1,2,100
"128",3,2,1,3,100
"129",3,2,1,4,100
"130",3,2,1,5,100
"131",3,2,2,1,100
"132",3,2,2,2,100
"133",3,2,2,3,100
"134",3,2,2,4,100
"135",3,2,2,5,100
"136",3,2,3,1,100
"137",3,2,3,2,100
"138",3,2,3,3,100
"139",3,2,3,4,100
"140",3,2,3,5,100
"141",3,2,4,1,100
"142",3,2,4,2,100
"143",3,2,4,3,100
"144",3,2,4,4,100
"145",3,2,4,5,100
"146",3,2,5,1,100
"147",3,2,5,2,100
"148",3,2,5,3,100
"149",3,2,5,4,100
"150",3,2,5,5,100
"151",4,0,1,1,96.8
"152",4,0,1,2,93.7
"153",4,0,1,3,91.3
"154",4,0,1,4,87.8
"155",4,0,1,5,86.1
"156",4,0,2,1,97.0192
"157",4,0,2,2,94.0452
"158",4,0,2,3,91.2204
"159",4,0,2,4,88.2944
"160",4,0,2,5,85.5478
"161",4,0,3,1,97.0359
"162",4,0,3,2,94.2051
"163",4,0,3,3,91.2577
"164",4,0,3,4,88.5743
"165",4,0,3,5,85.7743
"166",4,0,4,1,97.0887
"167",4,0,4,2,94.189
"168",4,0,4,3,91.3835
"169",4,0,4,4,88.5086
"170",4,0,4,5,85.9155
"171",4,0,5,1,97.0832
"172",4,0,5,2,94.2373
"173",4,0,5,3,91.5896
"174",4,0,5,4,88.7556
"175",4,0,5,5,86.166
"176",4,1,1,1,98.3
"177",4,1,1,2,94.4
"178",4,1,1,3,94
"179",4,1,1,4,91.4
"180",4,1,1,5,91.1
"181",4,1,2,1,97.9625252525253
"182",4,1,2,2,95.9356495468278
"183",4,1,2,3,93.9555780933063
"184",4,1,2,4,92.0073811931244
"185",4,1,2,5,90.1284412955466
"186",4,1,3,1,97.9851282051282
"187",4,1,3,2,96.0215384615385
"188",4,1,3,3,94.0291370558376
"189",4,1,3,4,91.9785420944559
"190",4,1,3,5,90.226369168357
"191",4,1,4,1,97.9990663900415
"192",4,1,4,2,96.0779033915724
"193",4,1,4,3,93.980612244898
"194",4,1,4,4,92.0686721991701
"195",4,1,4,5,90.1747692307692
"196",4,1,5,1,97.9981230448384
"197",4,1,5,2,96.0648225469729
"198",4,1,5,3,94.114509394572
"199",4,1,5,4,92.0411642411642
"200",4,1,5,5,90.1397274633124
"201",4,2,1,1,98.2
"202",4,2,1,2,96.2
"203",4,2,1,3,94.9
"204",4,2,1,4,91.5
"205",4,2,1,5,87.8
"206",4,2,2,1,97.9589876033058
"207",4,2,2,2,95.9504550050556
"208",4,2,2,3,93.9701736465781
"209",4,2,2,4,91.9456676860347
"210",4,2,2,5,90.0348178137652
"211",4,2,3,1,97.9624344176285
"212",4,2,3,2,95.9672955974843
"213",4,2,3,3,93.9142126789366
"214",4,2,3,4,91.9660062565172
"215",4,2,3,5,90.0376175548589
"216",4,2,4,1,97.9602320675105
"217",4,2,4,2,96.000641025641
"218",4,2,4,3,93.9021231422505
"219",4,2,4,4,91.8636460554371
"220",4,2,4,5,90.1098947368421
"221",4,2,5,1,97.9689617486339
"222",4,2,5,2,95.8955531453362
"223",4,2,5,3,93.8427956989247
"224",4,2,5,4,91.8937297297297
"225",4,2,5,5,89.9462459194777
"226",4,3,1,1,100
"227",4,3,1,2,100
"228",4,3,1,3,100
"229",4,3,1,4,100
"230",4,3,1,5,100
"231",4,3,2,1,100
"232",4,3,2,2,100
"233",4,3,2,3,100
"234",4,3,2,4,100
"235",4,3,2,5,100
"236",4,3,3,1,100
"237",4,3,3,2,100
"238",4,3,3,3,100
"239",4,3,3,4,100
"240",4,3,3,5,100
"241",4,3,4,1,100
"242",4,3,4,2,100
"243",4,3,4,3,100
"244",4,3,4,4,100
"245",4,3,4,5,100
"246",4,3,5,1,100
"247",4,3,5,2,100
"248",4,3,5,3,100
"249",4,3,5,4,100
"250",4,3,5,5,100
"251",5,0,1,1,96.1
"252",5,0,1,2,92.9
"253",5,0,1,3,89.5
"254",5,0,1,4,84.2
"255",5,0,1,5,79.8
"256",5,0,2,1,96.0397
"257",5,0,2,2,92.1882
"258",5,0,2,3,88.4083
"259",5,0,2,4,84.9588
"260",5,0,2,5,81.2749
"261",5,0,3,1,96.0807
"262",5,0,3,2,92.2395
"263",5,0,3,3,88.5557
"264",5,0,3,4,84.9955
"265",5,0,3,5,81.4489
"266",5,0,4,1,96.138
"267",5,0,4,2,92.432
"268",5,0,4,3,88.7
"269",5,0,4,4,85.4632
"270",5,0,4,5,82.0699
"271",5,0,5,1,96.1481
"272",5,0,5,2,92.5071
"273",5,0,5,3,88.9671
"274",5,0,5,4,85.3641
"275",5,0,5,5,82.3554
"276",5,1,1,1,96.9
"277",5,1,1,2,92.9
"278",5,1,1,3,91.3
"279",5,1,1,4,88.1
"280",5,1,1,5,85.6
"281",5,1,2,1,96.9748987854251
"282",5,1,2,2,94.0541414141414
"283",5,1,2,3,91.0905487804878
"284",5,1,2,4,88.2532795156408
"285",5,1,2,5,85.600202020202
"286",5,1,3,1,96.9454361054767
"287",5,1,3,2,94.0455475946776
"288",5,1,3,3,91.0800821355236
"289",5,1,3,4,88.2072448979592
"290",5,1,3,5,85.8099694811801
"291",5,1,4,1,97.0288541666667
"292",5,1,4,2,94.0711157455683
"293",5,1,4,3,91.3223602484472
"294",5,1,4,4,88.408521560575
"295",5,1,4,5,85.7982492276004
"296",5,1,5,1,97.0525987525988
"297",5,1,5,2,94.246947368421
"298",5,1,5,3,91.4355303810505
"299",5,1,5,4,88.4904860392968
"300",5,1,5,5,85.8211356466877
"301",5,2,1,1,96.1
"302",5,2,1,2,93.7
"303",5,2,1,3,91.1
"304",5,2,1,4,87.4
"305",5,2,1,5,86.6
"306",5,2,2,1,96.9654358974359
"307",5,2,2,2,93.9799795709908
"308",5,2,2,3,91.0719796954315
"309",5,2,2,4,88.1088295687885
"310",5,2,2,5,85.3480492813142
"311",5,2,3,1,96.9795218295218
"312",5,2,3,2,94.018795430945
"313",5,2,3,3,91.0473465140479
"314",5,2,3,4,88.2383333333333
"315",5,2,3,5,85.3572471324296
"316",5,2,4,1,96.9696937697994
"317",5,2,4,2,94.0048677248677
"318",5,2,4,3,91.1058002148228
"319",5,2,4,4,88.1815400843882
"320",5,2,4,5,85.5389903329753
"321",5,2,5,1,96.9661572052402
